Time Pregain Postgain
0.0000000000E+0 -4.9999998882E-3 1.2500000186E-2
8.0000000000E+0 0.0000000000E+0 7.4999998324E-3
1.5000000000E+1 -9.9999997765E-3 7.4999998324E-3
1.8000000000E+1 1.2500000186E-2 7.4999998324E-3
2.2000000000E+1 -2.4999999441E-3 2.2500000894E-2
2.4000000000E+1 -2.4999999441E-3 0.0000000000E+0
2.8000000000E+1 4.9999998882E-3 2.7499999851E-2
3.1000000000E+1 -2.4999999441E-3 1.2500000186E-2
3.3000000000E+1 2.4999999441E-3 1.2500000186E-2
3.6000000000E+1 2.4999999441E-3 1.2500000186E-2
4.0000000000E+1 0.0000000000E+0 4.9999998882E-3
4.3000000000E+1 9.9999997765E-3 9.9999997765E-3
4.5000000000E+1 4.9999998882E-3 7.4999998324E-3
4.8000000000E+1 4.9999998882E-3 2.7499999851E-2
5.0000000000E+1 0.0000000000E+0 7.4999998324E-3
5.4000000000E+1 2.4999999441E-3 4.9999998882E-3
5.6000000000E+1 -2.4999999441E-3 1.2500000186E-2
5.9000000000E+1 -4.9999998882E-3 7.4999998324E-3
6.0000000000E+1 -4.9999998882E-3 1.2500000186E-2
6.5000000000E+1 0.0000000000E+0 2.5000000373E-2
6.7000000000E+1 -2.4999999441E-3 7.4999998324E-3
6.9000000000E+1 0.0000000000E+0 1.2500000186E-2
7.2000000000E+1 2.4999999441E-3 2.4999999441E-3
7.4000000000E+1 4.9999998882E-3 1.2500000186E-2
7.7000000000E+1 7.4999998324E-3 1.2500000186E-2
8.0000000000E+1 2.4999999441E-3 7.4999998324E-3
8.2000000000E+1 2.4999999441E-3 2.4999999441E-3
8.5000000000E+1 -2.4999999441E-3 4.9999998882E-3
8.7000000000E+1 4.9999998882E-3 7.4999998324E-3
9.1000000000E+1 2.4999999441E-3 7.4999998324E-3
9.3000000000E+1 4.9999998882E-3 1.2500000186E-2
9.6000000000E+1 2.4999999441E-3 4.9999998882E-3
1.0200000000E+2 7.4999998324E-3 1.2500000186E-2
1.0400000000E+2 2.4999999441E-3 4.9999998882E-3
1.0600000000E+2 -2.4999999441E-3 1.2500000186E-2
1.0900000000E+2 2.4999999441E-3 2.7499999851E-2
1.1100000000E+2 4.9999998882E-3 7.4999998324E-3
1.1500000000E+2 2.4999999441E-3 1.2500000186E-2
1.1800000000E+2 2.4999999441E-3 1.2500000186E-2
1.2000000000E+2 7.4999998324E-3 9.9999997765E-3
1.2300000000E+2 0.0000000000E+0 2.5000000373E-2
1.2700000000E+2 -2.4999999441E-3 7.4999998324E-3
1.2900000000E+2 0.0000000000E+0 7.4999998324E-3
1.3200000000E+2 0.0000000000E+0 7.4999998324E-3
1.3400000000E+2 7.4999998324E-3 1.2500000186E-2
1.3800000000E+2 0.0000000000E+0 2.2500000894E-2
1.4100000000E+2 2.4999999441E-3 7.4999998324E-3
1.4400000000E+2 4.9999998882E-3 1.2500000186E-2
1.4600000000E+2 4.9999998882E-3 7.4999998324E-3
